Point Number;X cooridnate;Y coordinate;Z coordinate
1;505;161;-267
2;105;-613;-666
3;-498;696;-225
4;-539;371;-21
5;61;-84;-504
6;-644;16;17
7;722;646;636
8;476;771;-604
9;656;-515;-155
10;-472;650;-360
11;30;-612;-665
12;587;-543;-249
13;-743;-659;304
14;419;660;-503
15;-61;72;723
16;-577;752;702
17;-571;556;99
18;653;606;684
19;-97;-590;214
20;122;-570;-682
21;-626;-159;-540
22;-344;-522;-308
23;-859;-187;84
24;-637;-124;-606
25;677;-145;721
26;742;216;-85
27;-516;699;666
28;-573;-113;-534
29;278;-647;737
30;-560;636;699
31;-26;-575;170
32;-310;-537;-549
33;-787;8;483
34;624;738;-150
35;-656;79;-47
36;-766;-38;-560
37;-527;681;773
38;-553;-16;-673
39;81;-74;-495
40;459;754;-592
41;-528;669;775
42;-401;-373;-298
43;-131;-642;238
44;639;-120;752
45;32;7;-619
46;616;657;-103
47;775;694;1
48;-167;287;82
49;-414;-301;-404
50;-605;-98;-521
51;784;182;-74
52;689;405;-347
53;579;-418;8
54;732;560;657
55;353;-705;674
56;-133;-595;198
57;-792;446;30
58;-534;636;-376
59;-732;42;419
60;-73;97;719
61;-520;723;-278
62;-128;-697;223
63;-703;-12;-570
64;-725;-66;-566
65;4;122;692
66;-84;-609;129
67;-776;-21;-583
68;710;543;646
69;648;-108;747
70;643;-237;792
71;-800;346;120
72;682;577;601
73;-636;90;551
74;684;565;596
75;-54;-649;132
76;611;789;-61
77;597;338;-204
78;11;-38;-627
79;-651;-6;412
80;788;802;-158
81;694;-215;730
82;-482;-465;-405
83;-521;317;67
84;-610;650;737
85;-624;56;-553
86;688;-134;709
87;-763;97;497
88;-20;55;656
89;-403;-487;-345
90;857;745;-91
91;118;-16;-508
92;-520;-411;-408
93;-460;-379;-505
94;-787;-641;388
95;599;-155;768
96;446;827;-632
97;301;-700;794
98;-393;-343;-420
99;-69;-552;210
100;-261;-527;-578
101;683;810;15
102;-481;805;-398
103;605;-251;762
104;62;29;-551
105;628;772;-192
106;-614;-614;366
107;668;616;663
108;-530;-504;-382
109;36;-558;-675
110;-302;290;70
111;1;55;683
112;-68;-586;207
113;837;720;6
114;-609;701;698
115;-290;328;249
116;-149;224;77
117;-658;729;-359
118;-713;120;-677
119;473;-537;45
120;350;641;-468
121;-630;815;-345
122;-544;-178;10
123;613;785;-179
124;653;-148;783
125;-437;693;-408
126;-655;50;-573
127;663;209;-148
128;746;282;-326
129;705;589;589
130;-18;80;739
131;-853;-163;-44
132;-822;-105;93
133;-538;720;763
134;-4;-68;-507
135;511;-294;-38
136;-417;-490;-457
137;602;-633;-37
138;-682;465;79
139;-775;-526;358
140;-409;-571;-535
141;-490;-504;-313
142;-547;705;671
143;-586;752;-307
144;-467;708;-234
145;-34;18;-543
146;-739;-508;481
147;-850;-639;434
148;-597;692;644
149;-97;-605;224
150;63;-582;-811
151;632;-420;-214
152;-536;660;714
153;751;173;-343
154;311;-614;816
155;-362;-454;-554
156;-10;82;754
157;-309;255;162
158;-565;49;-517
159;-795;-619;478
160;77;-588;-822
161;-608;-28;-407
162;-588;840;-305
163;-714;11;527
164;-508;857;-386
165;-568;-485;394
166;309;-597;681
167;13;73;653
168;-248;317;137
169;544;752;-680
170;434;548;-594
171;2;-579;-744
172;-201;235;94
173;-668;-81;577
174;323;-737;767
175;523;-675;-176
176;340;770;-586
177;-391;-519;-532
178;-518;465;-34
179;338;-681;816
180;-605;721;716
181;-385;-429;-535
182;-812;-82;69
183;-572;687;734
184;-602;526;111
185;-567;688;784
186;-50;97;644
187;615;750;-103
188;16;-587;-737
189;-623;699;657
190;-153;205;165
191;712;587;648
192;100;-494;-742
193;-41;61;729
194;-53;-646;180
195;-657;-582;393
196;-859;-111;104
197;504;-331;51
198;285;657;-501
199;-278;-386;-500
200;-652;407;156
201;-464;-571;-420
202;402;724;-589
203;815;647;-68
204;311;697;-488
205;-751;373;96
206;-719;-651;547
207;-89;-609;196
208;-34;87;680
209;-47;106;683
210;69;-663;-731
211;775;195;-308
212;-604;755;-359
213;406;616;-622
214;719;603;632
215;-357;-407;-270
216;-529;612;758
217;-293;-325;-389
218;-26;95;632
219;-701;-75;580
220;79;12;-601
221;-726;-5;66
222;-292;269;177
223;-518;650;-284
224;-202;192;189
225;-575;-563;536
226;653;579;679
227;-811;441;199
228;689;-523;-259
229;-516;123;-453
230;-117;-641;214
